Event,Site,Date,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination
Rated bullet game,https://lichess.org/KhafEgN2,2022.12.23,TALGRANDPRIME,thomas123456,0-1,2022.12.23,12:41:14,2079,2074,-6,+6,Standard,60+0,C68,Time forfeit
Rated bullet game,https://lichess.org/j52vWaWg,2022.12.23,thomas123456,Alekhine-Defence,1-0,2022.12.23,12:40:34,2067,2127,+7,-7,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/L5J0cQ7V,2022.12.23,thomas123456,NewBorn97,1-0,2022.12.23,12:38:43,2061,2063,+6,-6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/SAcrHEee,2022.12.23,UDAKAREBA,thomas123456,0-1,2022.12.23,12:36:17,2031,2055,-6,+6,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/XnqNFVBk,2022.12.15,thomas123456,Kalinin_Michael,1-0,2022.12.15,15:28:30,2048,2092,+7,-7,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/dMIWoS7a,2022.12.15,AlexWeek,thomas123456,0-1,2022.12.15,15:27:52,2038,2043,-6,+5,Standard,60+0,C25,Normal
Rated bullet game,https://lichess.org/1vGb6FkB,2022.12.15,thomas123456,AlexWeek,1-0,2022.12.15,15:27:19,2037,2043,+6,-5,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/W0EHTphd,2022.12.15,thomas123456,AlphaWolf1,0-1,2022.12.15,15:25:28,2042,2099,-5,+5,Standard,60+0,C21,Normal
Rated bullet game,https://lichess.org/zLj9yIr7,2022.12.15,parismagic,thomas123456,1-0,2022.12.15,15:23:49,2020,2048,+6,-6,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/HRbsMJKU,2022.12.15,thomas123456,Relojerazo,1-0,2022.12.15,15:21:31,2041,2118,+7,-7,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/P2m8iciW,2022.12.15,tfdsa,thomas123456,0-1,2022.12.15,15:20:47,2032,2035,-6,+6,Standard,60+0,A25,Normal
Rated bullet game,https://lichess.org/U3NNMVdW,2022.12.15,sennsgpt,thomas123456,1-0,2022.12.15,15:19:53,1988,2042,+6,-7,Standard,60+0,C23,Normal
Rated bullet game,https://lichess.org/IT7NKkJk,2022.12.15,thomas123456,rodochess79,1-0,2022.12.15,15:17:50,2037,1979,+5,-5,Standard,60+0,B72,Normal
Rated bullet game,https://lichess.org/TwWA9H7h,2022.12.15,buntyritu,thomas123456,1-0,2022.12.15,15:15:59,2046,2042,+6,-5,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/prE4bc6U,2022.12.15,thomas123456,jargonaught,0-1,2022.12.15,15:13:41,2048,2078,-6,+5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/DAkdV9EO,2022.12.15,JhayeLo,thomas123456,0-1,2022.12.15,15:12:00,2055,2042,-6,+6,Standard,60+0,A20,Normal
Rated bullet game,https://lichess.org/IDMlYnBv,2022.12.15,thomas123456,CHoroniaka,1-0,2022.12.15,15:09:51,2036,2030,+6,-5,Standard,60+0,B33,Time forfeit
Rated bullet game,https://lichess.org/ngnmvaWC,2022.12.15,InTheAirTonight,thomas123456,0-1,2022.12.15,15:07:54,2007,2031,-5,+5,Standard,60+0,C93,Time forfeit
Rated bullet game,https://lichess.org/xik2JTMM,2022.12.15,UmangKnightYT,thomas123456,1-0,2022.12.15,15:05:46,1971,2037,+7,-6,Standard,60+0,C44,Normal
Rated bullet game,https://lichess.org/X07FtNJb,2022.12.15,thomas123456,UmangKnightYT,1-0,2022.12.15,15:03:41,2033,1976,+4,-5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/QdRWq5GB,2022.12.15,nouriss,thomas123456,0-1,2022.12.15,15:01:31,2020,2027,-6,+6,Standard,60+0,C21,Time forfeit
Rated bullet game,https://lichess.org/nAwCKsKH,2022.12.15,thomas123456,StefanoCavalcante,0-1,2022.12.15,14:59:46,2034,1965,-7,+7,Standard,60+0,B21,Normal
Rated bullet game,https://lichess.org/MIc48vQN,2022.12.15,sabriel,thomas123456,0-1,2022.12.15,14:57:45,2017,2028,-5,+6,Standard,60+0,C46,Time forfeit
Rated bullet game,https://lichess.org/z02zNVcQ,2022.12.14,c6d5,thomas123456,0-1,2022.12.14,16:23:09,1987,2023,-6,+5,Standard,60+0,C44,Normal
Rated bullet game,https://lichess.org/0UtP43hT,2022.12.14,thomas123456,ChatterAja,0-1,2022.12.14,16:20:53,2029,1995,-6,+6,Standard,60+0,C47,Time forfeit
Rated bullet game,https://lichess.org/1qXOSMVY,2022.12.14,thomas123456,erdemoran,0-1,2022.12.14,16:18:39,2034,2083,-5,+5,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/n7e9m5w9,2022.12.14,erdemoran,thomas123456,0-1,2022.12.14,16:17:28,2089,2027,-6,+7,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/tjYCXYtN,2022.12.14,thomas123456,erdemoran,0-1,2022.12.14,16:16:23,2032,2084,-5,+5,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/OznQvD3x,2022.12.14,erdemoran,thomas123456,1-0,2022.12.14,16:14:55,2079,2037,+5,-5,Standard,60+0,A40,Normal
Rated bullet game,https://lichess.org/EJdRNjI6,2022.12.14,thomas123456,erdemoran,1/2-1/2,2022.12.14,16:12:52,2037,2080,+0,-1,Standard,60+0,C40,Normal
