Event,Site,Date,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination
Rated bullet game,https://lichess.org/gdETfDUA,2019.12.31,thomas123456,pmarek,1-0,2019.12.31,16:17:07,1810,1733,+5,-5,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/eRyJZiCu,2019.12.31,SurDestructor,thomas123456,0-1,2019.12.31,16:14:47,1795,1804,-6,+6,Standard,60+0,D02,Time forfeit
Rated bullet game,https://lichess.org/UpKBR0QS,2019.12.31,carmoe1234,thomas123456,0-1,2019.12.31,16:13:12,1875,1796,-8,+8,Standard,60+0,C45,Normal
Rated bullet game,https://lichess.org/i8RHwGsA,2019.12.31,thomas123456,carmoe1234,1/2-1/2,2019.12.31,16:11:28,1794,1876,+2,-1,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/YATiLoD7,2019.12.31,Levandovski9,thomas123456,0-1,2019.12.31,16:09:10,1810,1788,-9,+6,Standard,60+0,C54,Time forfeit
Rated bullet game,https://lichess.org/C9zZ2bTD,2019.12.31,fredisa4letterword,thomas123456,0-1,2019.12.31,16:06:52,1876,1779,-8,+9,Standard,60+0,C91,Time forfeit
Rated bullet game,https://lichess.org/PW9uhvof,2019.12.31,thomas123456,Boonyy,1-0,2019.12.31,16:05:09,1773,1748,+6,-5,Standard,60+0,B02,Normal
Rated bullet game,https://lichess.org/zJJDMyn2,2019.12.31,thomas123456,rburra,1-0,2019.12.31,16:03:11,1767,1754,+6,-6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/SfTqQxGi,2019.12.31,thomas123456,rattheband,0-1,2019.12.31,16:00:54,1772,1824,-5,+5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/6nPvESsV,2019.12.31,ENGINE_07,thomas123456,1-0,2019.12.31,15:59:21,1814,1778,+6,-6,Standard,60+0,C77,Normal
Rated bullet game,https://lichess.org/GTUPAmX5,2019.12.31,thomas123456,icha2103,0-1,2019.12.31,15:56:55,1785,1752,-7,+7,Standard,60+0,B28,Normal
Rated bullet game,https://lichess.org/WKlU82qo,2019.12.31,icha2103,thomas123456,1-0,2019.12.31,15:54:41,1744,1792,+8,-7,Standard,60+0,C64,Normal
Rated bullet game,https://lichess.org/L0vLCRzo,2019.12.31,Diossassy,thomas123456,0-1,2019.12.31,15:53:09,1657,1788,-4,+4,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/ACJlxR26,2019.12.31,maven84,thomas123456,1-0,2019.12.31,15:53:02,1850,1793,+5,-5,Standard,60+0,C23,Normal
Rated bullet game,https://lichess.org/S6dsd9yT,2019.12.31,thomas123456,maven84,0-1,2019.12.31,15:52:09,1799,1844,-6,+6,Standard,60+0,C25,Normal
Rated bullet game,https://lichess.org/PVLzKBtu,2019.12.31,thomas123456,lokez,0-1,2019.12.31,15:50:01,1806,1761,-7,+8,Standard,60+0,B70,Time forfeit
Rated bullet game,https://lichess.org/IeXuIuSp,2019.12.31,AlekhinesGunn,thomas123456,0-1,2019.12.31,15:47:53,1734,1801,-5,+5,Standard,60+0,C78,Time forfeit
Rated bullet game,https://lichess.org/EYMHJ7uH,2019.12.31,thomas123456,AlekhinesGunn,0-1,2019.12.31,15:47:10,1808,1726,-7,+8,Standard,60+0,B54,Normal
Rated bullet game,https://lichess.org/KOpSYnbV,2019.12.31,AlekhinesGunn,thomas123456,1-0,2019.12.31,15:45:52,1717,1816,+9,-8,Standard,60+0,C50,Normal
